cpu_usage,memory_usage,error_rate,latency_p99,disk_usage,network_in,pod_restarts,hour_of_day,severity
31.87,46.47,2.894,49.2,26.28,22.97,2,5,0
66.97,71.72,4.562,65.2,73.54,99.49,1,17,0
8.61,22.85,3.106,894.8,12.72,148.66,1,23,1
6.03,35.84,6.993,111.2,26.45,0.3,1,12,1
11.66,41.84,1.072,329.2,26.55,113.29,0,6,0
13.01,9.57,6.219,9.2,49.76,7.36,1,16,1
26.07,39.68,0.294,89.4,35.28,32.56,2,20,0
61.3,36.29,0.453,71.8,7.18,16.26,0,17,0
28.16,51.58,1.794,9.9,57.26,15.58,1,23,0
4.15,78.3,0.037,135.0,41.96,38.18,0,16,0
55.88,25.2,0.07,150.5,24.02,21.06,0,10,0
14.19,20.3,1.109,5.4,69.62,72.15,0,7,0
37.78,50.85,1.462,22.1,23.15,15.73,0,13,0
3.02,3.03,2.044,31.2,40.47,59.55,0,8,0
22.14,58.5,2.181,351.9,49.99,26.48,0,17,0
69.88,41.32,2.15,62.4,10.43,108.48,0,13,0
52.36,14.65,0.975,182.3,34.45,134.82,0,9,0
35.36,12.64,5.594,125.0,41.7,96.55,2,22,1
31.43,28.62,1.016,25.2,45.99,77.51,1,5,0
57.17,41.34,0.844,60.9,14.18,41.83,1,18,0
18.52,72.92,0.765,88.1,77.87,132.0,2,16,0
9.43,20.59,1.448,342.2,25.81,24.54,1,17,0
28.61,13.42,2.906,3.8,39.28,21.76,1,9,0
6.17,32.01,10.897,85.4,37.46,43.04,0,22,1
23.42,57.62,3.555,15.2,19.66,19.0,1,16,0
40.36,18.94,2.396,19.4,21.63,62.66,2,14,0
63.89,30.1,0.697,312.0,35.01,46.58,2,20,0
18.73,34.22,2.323,139.6,43.69,3.53,1,7,0
31.55,53.67,0.483,226.7,54.92,79.33,1,8,0
28.82,76.77,1.613,53.4,40.37,91.26,0,6,0
13.05,30.27,1.131,7.6,30.66,12.28,1,14,0
57.58,61.15,1.06,25.6,46.18,23.71,0,15,0
23.24,32.13,1.189,29.3,55.8,19.1,0,18,0
16.46,74.5,2.257,138.8,43.55,58.53,0,21,0
22.64,20.79,6.085,53.2,69.02,81.77,1,15,1
29.31,60.12,2.779,56.7,18.83,25.01,1,12,0
6.83,45.3,1.113,54.7,21.21,45.55,1,23,0
45.76,69.72,0.748,24.5,35.31,40.61,1,12,0
28.85,75.31,0.909,5.9,52.95,89.75,1,2,0
34.08,10.31,0.727,15.6,14.37,0.61,0,2,0
12.35,57.66,2.5,9.9,20.64,48.65,1,16,0
4.39,61.12,0.095,69.8,48.11,1.65,1,22,0
38.69,70.12,0.304,60.6,28.66,21.84,0,3,0
25.08,26.82,1.548,83.2,21.09,23.41,1,20,0
26.59,23.36,2.281,20.6,37.15,12.78,1,19,0
24.59,18.65,1.382,210.5,40.42,16.98,0,6,0
41.92,49.27,0.877,80.8,57.03,80.78,0,4,0
50.36,10.42,0.39,59.5,43.33,47.5,2,1,0
12.37,42.64,0.115,26.1,49.56,152.71,0,22,0
6.97,70.28,2.537,41.5,47.57,14.85,2,0,0
18.14,31.09,0.197,22.0,43.45,38.76,2,7,0
40.06,25.32,0.96,101.7,32.47,22.68,0,21,0
12.28,34.71,1.512,58.7,75.5,23.02,0,2,0
31.7,37.89,2.842,567.5,26.91,7.07,0,23,1
44.35,32.37,4.458,46.0,52.16,15.4,2,1,0
32.35,23.52,9.118,15.5,20.41,8.79,0,16,1
74.79,46.65,2.385,180.7,55.62,3.23,2,3,1
33.46,25.83,1.103,51.0,53.04,35.65,0,10,0
19.57,73.66,0.46,93.5,24.65,18.14,3,6,0
23.35,52.01,1.045,130.4,76.21,74.08,0,23,0
55.16,67.25,1.526,16.6,50.02,23.48,1,14,0
18.22,44.8,2.046,343.7,70.92,205.56,1,21,0
64.79,51.54,3.179,263.4,36.85,73.18,1,23,0
16.26,37.33,2.022,26.8,56.11,245.53,0,4,0
32.51,59.39,1.542,94.7,45.3,27.3,4,4,1
17.94,58.71,0.394,54.0,21.52,0.88,3,4,0
56.29,12.88,0.132,9.2,16.05,11.0,3,9,0
26.84,28.15,1.212,25.3,27.31,21.65,1,1,0
9.32,63.84,4.672,46.9,24.97,7.0,0,20,0
5.13,72.22,1.924,36.6,50.8,65.73,1,1,0
16.91,86.27,0.425,12.0,52.75,63.97,0,18,1
25.28,23.13,1.023,42.2,65.81,59.64,3,5,0
22.18,43.5,1.702,41.1,48.79,183.49,1,11,0
42.57,27.1,3.825,57.4,30.74,51.11,1,11,0
42.61,64.1,1.073,546.5,32.15,51.02,0,7,1
22.78,46.72,0.799,20.6,59.31,49.54,5,10,1
49.42,58.96,1.102,64.3,49.08,51.98,1,14,0
25.84,43.03,0.354,154.9,58.72,91.49,1,1,0
47.86,49.93,2.474,54.2,56.73,7.33,1,18,0
34.91,56.79,0.189,17.7,34.34,9.87,0,2,0
25.31,44.36,4.79,67.7,70.43,18.7,2,18,0
20.61,47.47,5.263,54.6,20.34,25.6,0,23,1
40.52,4.47,1.918,16.9,52.28,39.27,1,12,0
40.84,58.06,1.603,200.7,58.08,20.47,0,14,0
39.67,56.33,1.645,160.3,55.83,28.28,4,8,1
8.47,63.04,0.794,7.9,40.81,27.17,1,18,0
10.24,31.56,3.534,11.5,44.95,14.67,1,22,0
34.27,11.29,2.363,34.8,18.1,9.88,2,19,0
5.37,56.34,1.979,267.2,29.82,37.4,1,2,0
45.22,47.95,8.693,29.8,60.66,120.47,1,20,1
41.36,34.12,2.07,42.0,37.27,5.47,3,17,0
9.79,18.27,8.336,46.0,39.15,81.63,1,22,1
56.65,13.29,2.219,13.7,60.2,65.78,1,17,0
41.9,43.47,0.134,260.1,42.25,45.49,1,11,0
43.44,42.68,0.334,51.3,32.07,42.91,0,0,0
3.3,14.98,1.747,39.1,60.47,6.11,1,17,0
25.72,64.13,2.065,24.8,54.77,3.19,1,5,0
10.88,88.25,0.067,313.6,58.17,131.66,1,10,1
28.66,9.64,0.463,86.0,35.92,91.91,0,16,0
44.92,50.82,5.098,182.4,21.02,23.32,2,11,1
10.04,69.65,0.628,92.6,56.49,3.47,1,11,0
66.79,54.16,1.271,37.1,57.57,21.08,1,3,0
55.99,50.19,0.141,26.7,25.12,46.5,0,1,0
18.18,77.15,0.007,113.8,65.16,56.61,0,11,0
48.81,55.06,5.367,9.6,43.66,7.9,2,10,1
45.01,23.31,3.739,23.0,19.22,47.58,2,7,0
24.52,54.78,8.288,28.0,48.85,61.04,1,12,1
7.15,38.15,9.305,256.1,30.77,201.49,0,14,1
43.87,73.52,1.153,46.8,47.21,44.12,0,17,0
15.2,65.18,2.534,228.7,51.5,93.39,0,4,0
13.74,51.8,3.212,28.3,17.57,11.31,2,8,0
33.7,39.55,1.012,394.5,21.3,15.15,3,21,0
62.06,51.64,1.397,24.1,15.47,23.47,0,3,0
42.01,45.22,0.201,38.8,73.29,136.35,0,9,0
40.57,24.51,0.442,20.5,26.95,95.81,0,21,0
31.12,36.73,1.966,99.1,48.67,6.44,0,18,0
9.78,6.81,2.267,257.1,54.53,156.02,1,16,0
18.61,33.36,0.461,35.6,36.96,140.27,0,16,0
61.44,53.61,3.274,29.0,29.93,20.46,2,9,0
27.08,32.75,2.851,13.4,18.79,59.46,1,21,0
18.83,12.32,4.246,146.8,16.74,83.08,3,11,0
28.67,65.28,2.899,306.7,28.02,76.54,1,16,0
5.1,38.42,0.555,308.1,68.51,8.35,1,9,0
48.95,53.3,0.765,329.9,38.55,5.78,1,17,0
30.69,31.59,0.587,248.8,39.79,82.74,0,16,0
35.77,46.78,1.411,83.3,41.97,29.95,1,10,0
53.29,9.93,1.116,51.4,9.53,4.39,1,10,0
17.69,23.48,0.755,85.5,50.57,71.72,0,4,0
62.45,66.22,0.228,8.6,16.05,6.26,0,18,0
46.44,33.79,6.791,98.9,47.86,19.05,1,16,1
11.69,6.29,0.971,40.4,41.2,6.97,1,16,0
38.71,57.07,1.896,107.7,24.44,30.21,1,21,0
22.46,46.02,0.983,65.0,51.51,43.06,2,10,0
23.64,8.6,4.067,57.2,41.17,0.76,1,6,0
24.41,52.67,0.34,12.9,57.55,31.19,3,22,0
52.87,35.93,1.724,17.2,43.9,12.55,3,16,0
54.48,38.85,2.666,23.5,32.54,106.19,3,6,0
10.93,42.8,3.602,18.8,35.82,57.35,1,17,0
45.2,62.73,1.363,2.7,17.26,52.22,0,12,0
9.9,23.11,9.775,14.8,76.56,44.29,1,11,1
19.25,17.17,0.112,14.0,75.62,1.23,0,2,0
16.75,29.62,1.882,115.5,39.76,115.61,1,2,0
14.99,26.51,2.333,87.0,53.7,42.53,1,21,0
2.8,41.42,0.832,66.4,14.44,120.72,2,9,0
16.12,23.03,4.587,115.6,33.68,41.82,0,23,0
35.57,36.77,1.024,65.5,76.85,114.58,0,14,0
13.94,32.72,2.271,43.6,39.27,44.79,1,19,0
22.87,41.79,1.129,198.1,45.62,92.36,2,13,0
58.66,22.39,0.452,39.6,13.87,262.3,0,14,0
14.93,27.02,1.807,18.1,65.81,9.15,1,13,0
7.86,44.87,0.024,404.8,46.39,107.96,1,22,0
54.63,39.52,1.522,77.1,32.46,170.27,2,19,0
25.08,37.19,0.798,49.0,43.13,17.31,1,19,0
25.46,59.69,0.783,229.7,56.78,0.82,1,17,0
51.47,20.09,0.657,36.8,28.81,64.88,2,8,0
32.64,30.83,2.872,39.0,42.54,85.78,2,20,0
40.88,49.88,1.353,88.4,53.57,14.33,1,22,0
49.78,8.08,1.076,17.0,38.04,11.67,0,22,0
3.95,82.53,1.888,36.4,28.48,9.19,3,3,1
47.61,22.23,0.018,26.0,56.69,74.74,1,13,0
9.7,38.8,0.971,43.1,48.99,6.28,2,8,0
3.71,38.73,4.412,28.2,35.46,5.28,1,0,0
13.44,30.06,1.301,18.3,31.26,104.33,0,14,0
41.48,50.7,3.798,22.3,32.94,25.64,2,12,0
28.75,68.18,0.843,203.6,39.1,69.97,2,8,0
58.45,39.9,3.513,17.0,48.4,42.32,1,7,0
38.71,22.48,0.624,59.9,42.44,157.58,0,2,0
29.32,32.08,1.095,59.6,42.45,30.61,1,18,0
50.12,38.61,0.316,3.8,54.26,2.31,2,12,0
17.48,43.26,2.884,17.0,34.19,3.78,0,2,0
46.69,36.93,0.288,205.4,32.88,106.65,1,15,0
22.58,52.6,0.422,31.9,57.57,134.0,2,12,0
52.4,39.61,7.16,9.8,52.38,15.11,0,5,1
28.0,41.37,0.911,123.3,67.87,27.97,1,15,0
24.42,36.74,0.753,73.2,45.77,296.52,2,6,0
21.59,17.48,0.345,59.1,40.63,188.99,0,6,0
55.08,19.33,5.465,141.0,38.46,41.14,2,5,1
21.6,64.6,6.58,15.1,19.93,69.37,0,23,1
30.51,30.03,2.812,25.6,69.82,12.0,0,6,0
11.29,52.35,0.502,113.2,51.08,165.58,0,2,0
15.29,58.58,5.203,153.1,52.1,21.65,2,4,1
14.89,52.48,0.45,118.1,53.89,47.39,1,2,0
25.24,20.61,0.401,281.2,34.21,2.59,0,22,0
9.09,26.39,0.269,72.0,35.28,8.41,1,6,0
32.68,60.84,3.101,31.1,39.88,52.26,2,3,0
45.63,63.38,6.021,13.5,83.6,34.19,0,9,1
61.43,55.77,5.9,123.9,28.06,13.43,0,20,1
58.34,14.09,0.421,39.5,36.78,53.26,1,21,0
20.1,34.0,20.106,6.4,49.31,27.85,2,1,2
24.06,63.74,2.308,27.6,55.6,42.51,1,4,0
37.27,20.5,2.216,29.7,39.06,27.91,0,13,0
39.72,29.29,0.356,35.1,55.99,82.26,0,1,0
3.99,77.48,3.659,168.7,46.02,17.91,1,3,0
47.31,15.67,2.588,32.5,25.13,11.1,1,11,0
63.42,28.39,2.768,46.5,68.29,14.85,1,19,0
57.95,29.63,5.534,28.1,37.41,71.26,2,14,1
3.59,15.85,0.338,33.9,39.92,151.74,1,0,0
61.61,44.33,0.249,17.7,52.39,77.51,1,3,0
29.84,29.34,0.48,148.8,41.04,178.98,0,0,0
1.4,33.96,1.412,363.8,56.99,203.09,0,10,0
38.88,65.58,0.037,432.1,24.06,46.39,3,10,0
31.14,23.63,0.53,26.0,30.43,13.12,1,22,0
21.75,11.42,2.601,33.3,63.75,2.16,2,10,0
22.27,61.46,0.099,36.2,51.08,17.28,0,20,0
36.0,58.36,3.166,21.1,27.53,2.92,2,11,0
53.32,51.68,0.891,17.3,65.1,7.07,0,0,0
8.92,38.59,0.617,70.5,35.13,12.76,0,8,0
46.37,35.36,0.851,2.8,59.57,65.9,1,4,0
28.54,19.79,0.245,254.0,38.91,4.4,1,6,0
47.77,40.59,0.422,81.8,37.09,169.71,1,4,0
32.4,33.05,0.975,193.2,34.52,3.36,2,16,0
18.83,41.61,0.507,199.6,26.99,59.06,2,16,0
38.33,26.18,1.714,58.9,44.15,15.19,1,19,0
8.05,40.39,2.794,1.8,18.47,18.61,0,14,0
11.69,29.69,0.348,36.1,66.19,189.95,1,4,0
14.44,69.15,0.523,32.0,22.48,5.44,2,0,0
40.45,48.22,0.87,84.2,24.75,9.75,0,21,0
25.4,51.02,3.577,186.8,40.23,52.73,0,0,0
8.95,4.92,2.66,148.3,20.21,12.56,1,0,0
18.22,39.5,6.601,112.3,16.5,77.4,3,15,1
54.05,44.84,0.414,35.0,44.07,44.37,0,9,0
29.15,23.26,0.811,24.6,70.09,56.68,0,22,0
13.33,73.93,0.182,204.4,38.93,53.0,1,12,0
34.58,62.95,4.003,53.0,46.39,23.48,2,19,0
25.42,28.01,4.721,67.3,15.99,15.35,0,11,0
38.41,14.8,1.316,108.9,70.32,19.54,1,15,0
37.39,49.37,0.699,27.3,24.77,189.75,0,11,0
9.97,32.36,0.951,8.7,32.79,54.32,1,16,0
52.78,16.69,3.422,2.4,59.41,23.42,0,17,0
5.97,46.5,1.834,48.5,57.87,29.27,1,3,0
47.7,55.34,0.407,58.3,15.87,17.07,0,9,0
27.35,49.71,0.897,37.5,89.11,34.02,1,5,0
16.27,40.64,0.883,146.1,16.11,93.73,0,19,0
25.85,39.48,1.753,19.0,45.53,45.7,3,0,0
7.15,59.2,1.939,14.9,32.38,82.91,0,17,0
34.29,1.97,1.322,13.9,29.65,48.32,0,9,0
69.12,68.55,3.933,71.5,26.3,60.22,2,17,0
30.91,48.08,2.68,54.3,27.12,11.95,1,22,0
18.77,47.1,7.03,19.9,61.22,67.82,1,5,1
21.99,55.6,0.478,55.3,79.51,90.11,1,6,0
21.91,69.52,0.074,109.8,32.29,61.63,4,0,1
9.15,84.52,1.218,77.0,59.7,122.57,1,2,1
30.86,26.91,3.542,104.2,18.36,37.44,2,23,0
21.26,9.37,0.674,63.3,45.54,66.71,1,4,0
58.96,40.88,1.931,94.1,60.47,3.08,4,12,1
37.88,48.97,0.929,107.2,6.05,35.23,1,20,0
22.84,48.14,4.214,57.6,68.17,102.31,0,7,0
31.96,37.71,2.24,74.0,36.16,77.65,0,10,0
32.38,54.3,1.461,44.1,21.18,5.49,0,2,0
30.62,29.89,1.697,231.2,14.1,4.22,1,16,0
16.91,9.67,0.868,14.8,34.0,4.57,1,20,0
45.26,1.42,1.895,289.0,79.17,0.53,2,17,0
53.41,31.81,0.338,159.0,40.18,60.97,1,22,0
47.06,19.97,1.027,55.6,15.49,17.04,0,13,0
27.17,24.69,0.169,103.3,51.12,7.53,2,15,0
8.21,12.04,0.665,85.6,41.53,47.32,1,0,0
41.14,59.1,0.569,233.4,40.56,112.45,2,6,0
28.95,49.56,7.811,59.4,66.45,114.4,0,22,1
27.99,51.72,3.446,24.4,34.12,3.72,1,22,0
30.25,21.66,1.727,8.3,43.5,43.76,1,21,0
11.11,17.66,8.549,229.9,58.27,22.55,3,0,1
15.73,52.35,2.118,170.8,37.09,47.42,2,18,0
43.51,27.82,4.4,83.4,43.37,70.15,1,18,0
48.42,33.63,0.059,16.4,52.36,62.51,0,4,0
16.94,13.43,2.59,18.5,22.36,2.49,2,12,0
20.33,65.85,1.187,111.9,28.54,30.24,0,11,0
54.58,26.42,1.097,9.6,32.37,83.13,1,15,0
21.69,41.96,4.345,25.1,60.63,34.97,0,23,0
11.0,25.26,4.367,8.2,42.68,9.61,1,15,0
13.82,80.86,3.477,12.1,39.9,7.05,1,16,1
9.5,9.48,0.821,10.0,18.24,49.17,0,6,0
52.22,28.29,1.083,26.3,15.51,89.98,3,16,0
18.95,6.29,1.034,101.6,53.12,8.01,0,22,0
8.84,32.7,0.476,58.5,42.3,31.09,4,18,1
32.59,21.77,0.582,35.6,65.71,10.09,0,3,0
24.42,37.53,1.545,159.5,33.75,25.41,0,9,0
27.31,70.92,1.521,122.5,44.4,31.98,2,13,0
41.37,49.48,3.827,34.0,35.58,4.39,2,23,0
25.1,31.0,0.378,63.7,38.04,7.93,1,3,0
19.72,38.3,3.447,95.2,48.27,100.48,2,15,0
25.68,67.36,8.272,79.9,76.07,44.26,1,4,1
21.09,52.88,1.455,103.0,54.71,78.81,0,16,0
43.54,58.8,0.566,39.6,16.68,1.22,2,0,0
6.71,66.12,1.29,50.5,36.65,2.74,2,16,0
6.25,69.34,0.426,19.0,33.17,5.39,1,15,0
68.91,68.2,3.401,87.2,49.1,85.03,1,8,0
21.9,40.45,0.6,4.9,43.27,148.9,1,20,0
23.97,63.6,0.495,81.9,59.35,183.13,1,11,0
5.35,49.87,3.155,41.7,69.06,142.69,1,1,0
30.55,27.24,0.769,131.0,11.58,72.72,3,23,0
45.74,44.51,4.093,155.9,50.85,30.22,1,0,0
19.23,52.53,2.165,75.3,22.63,27.33,0,17,0
47.29,17.52,0.966,52.8,65.88,29.22,0,16,0
21.27,14.96,0.43,22.7,43.61,11.79,1,12,0
19.31,59.59,1.926,73.3,16.32,56.82,1,1,0
12.43,42.09,0.237,42.9,27.5,27.69,0,15,0
52.97,55.62,1.862,144.6,40.51,183.15,0,3,0
26.03,41.68,0.431,38.3,81.34,132.43,0,14,0
26.61,19.88,0.688,15.2,69.17,24.91,2,7,0
29.33,65.72,0.672,56.1,54.54,69.46,0,19,0
19.21,11.99,1.047,15.1,20.41,98.81,1,8,0
51.2,28.03,5.937,5.9,35.53,10.35,0,23,1
51.61,56.79,3.357,4.0,8.16,4.99,0,2,0
31.57,23.75,3.456,24.6,52.68,1.15,2,15,0
5.47,21.27,0.0,49.2,40.98,9.17,1,9,0
7.51,81.28,2.992,85.5,36.69,8.63,1,15,1
12.31,25.04,0.555,791.2,71.8,38.78,2,8,1
40.3,52.26,3.43,30.2,19.05,23.09,0,5,0
52.79,32.0,0.497,13.0,13.27,7.78,1,16,0
8.59,24.53,0.571,105.2,11.17,16.9,0,18,0
37.82,37.72,2.737,67.1,36.12,8.98,0,18,0
19.95,64.21,1.827,31.8,51.32,111.3,0,22,0
69.88,50.14,1.599,21.9,58.88,62.16,2,21,0
23.82,32.3,0.545,173.8,51.58,29.46,0,22,0
19.73,21.28,0.513,47.1,17.45,131.89,1,15,0
35.99,36.4,1.337,81.6,50.81,79.28,4,22,1
14.96,38.82,0.285,291.1,66.43,113.47,0,14,0
36.24,37.42,0.784,11.4,18.36,1.97,0,18,0
32.25,74.02,0.906,169.8,75.75,71.47,0,4,0
5.75,3.9,0.513,77.8,29.39,32.52,0,21,0
6.87,73.19,4.255,203.3,25.93,12.24,0,14,0
15.13,23.39,0.755,15.8,42.29,28.4,0,19,0
39.53,37.06,2.539,10.1,27.44,97.33,0,19,0
51.4,69.19,0.829,49.0,9.45,16.16,0,2,0
35.2,53.58,0.394,148.5,49.98,105.84,2,20,0
40.23,8.78,0.352,63.1,40.39,57.68,1,15,0
3.72,64.23,4.52,131.1,45.92,0.81,1,5,0
37.27,8.88,3.314,32.5,48.92,28.64,1,1,0
39.93,37.77,0.078,118.2,81.17,149.8,0,9,0
41.29,79.88,1.519,31.9,46.98,1.41,0,5,0
18.42,78.99,7.543,20.3,65.16,24.46,3,6,1
4.35,46.06,1.543,131.1,49.87,29.83,0,18,0
3.89,12.31,2.672,144.0,73.58,6.53,1,11,0
31.33,13.05,1.302,21.3,32.25,0.51,0,7,0
34.54,64.87,1.113,13.3,48.84,4.75,3,4,0
52.96,52.6,3.713,86.6,61.79,17.87,0,17,0
49.06,76.41,0.208,39.5,38.79,3.86,2,4,0
26.29,76.18,3.003,157.9,73.44,72.08,1,13,0
28.8,14.95,0.093,68.5,68.2,62.02,0,21,0
47.6,29.79,0.67,56.8,28.25,20.43,0,2,0
22.3,33.67,8.468,159.6,35.28,20.53,1,8,1
40.95,21.52,2.708,25.8,31.37,4.03,2,19,0
29.67,69.78,4.072,28.6,47.61,47.04,0,2,0
37.34,27.53,0.271,36.4,30.16,30.59,2,1,0
36.62,22.44,1.646,37.5,32.59,15.8,2,5,0
12.01,33.77,3.257,14.2,28.44,44.95,3,11,0
18.46,35.84,2.031,49.2,45.18,36.4,1,1,0
67.98,54.15,2.863,14.1,29.7,72.82,2,22,0
48.57,36.45,0.601,56.4,48.36,3.15,1,8,0
4.68,24.3,5.162,38.3,62.61,1.07,2,20,1
43.79,5.71,0.598,28.4,48.09,30.81,1,20,0
33.72,23.56,1.888,24.9,23.8,34.85,1,9,0
18.44,22.79,0.583,207.3,43.48,57.66,1,1,0
24.24,14.95,8.777,63.4,10.56,12.65,1,18,1
14.75,34.05,3.942,45.2,24.38,130.03,1,7,0
14.72,10.25,0.66,35.7,19.68,9.55,1,23,0
30.23,12.54,0.039,383.6,64.06,14.39,1,2,0
49.24,35.3,2.182,122.8,16.71,2.54,1,17,0
29.8,57.78,1.883,10.1,28.06,24.54,3,3,0
62.54,83.38,2.351,396.4,74.38,82.86,0,20,1
33.89,31.21,2.1,45.9,53.42,32.8,0,6,0
16.88,51.02,1.762,52.4,18.11,21.45,1,19,0
9.44,54.52,0.469,58.2,40.39,21.34,2,11,0
7.77,5.39,0.826,90.7,44.91,83.61,1,13,0
7.19,53.64,1.01,101.9,15.14,77.18,1,19,0
57.38,53.11,5.726,110.4,37.11,53.38,0,3,1
4.89,33.02,3.261,187.3,78.75,44.27,1,9,0
71.38,27.57,1.46,163.0,68.45,85.63,0,3,1
11.13,12.43,1.352,66.1,44.14,19.06,3,8,0
57.58,55.74,0.651,83.3,15.75,16.01,0,13,0
47.44,23.34,0.471,34.4,26.03,218.88,2,9,0
54.31,38.58,0.834,104.2,23.84,41.51,1,2,0
30.09,13.89,1.4,37.8,30.19,28.06,0,22,0
20.43,23.83,0.045,35.6,33.02,82.62,1,4,0
74.75,89.45,0.919,57.7,27.5,127.24,3,13,1
6.58,36.34,1.619,84.4,63.5,21.47,0,19,0
24.1,19.6,11.11,53.5,69.9,103.33,2,23,1
38.12,88.12,0.788,81.6,47.89,138.32,0,13,1
42.34,22.42,6.541,12.5,44.54,3.09,0,12,1
36.46,57.13,3.847,156.4,36.61,31.52,4,16,1
32.99,72.8,0.314,24.3,45.45,179.87,1,16,0
60.43,43.5,4.811,185.9,17.86,96.01,1,2,0
11.28,27.96,5.034,146.7,58.79,43.05,0,12,1
34.46,78.07,1.858,21.2,26.12,11.13,0,4,0
39.99,14.57,0.028,30.2,69.28,41.33,1,11,0
19.82,30.04,1.001,56.2,79.87,13.71,0,2,0
25.32,8.57,0.399,96.9,27.3,131.85,0,20,0
8.09,31.77,2.188,70.4,30.38,14.21,0,0,0
20.77,46.83,0.039,192.9,40.51,1.59,0,2,0
33.84,59.85,4.174,23.9,20.28,36.42,2,10,0
42.5,16.73,0.95,15.4,49.89,19.67,0,13,0
39.73,56.46,5.092,162.6,42.75,8.81,2,10,1
17.25,53.62,0.59,19.4,39.98,25.78,0,11,0
14.11,37.55,3.336,145.2,57.19,5.64,3,21,0
26.65,44.55,0.397,52.0,49.9,36.3,0,18,0
27.34,61.76,10.338,93.5,29.17,52.98,0,10,1
19.46,11.81,0.466,152.4,60.92,106.09,2,13,0
33.3,60.16,2.476,35.6,25.78,2.66,2,11,0
24.0,15.58,0.71,99.5,31.51,83.57,1,12,0
23.59,34.96,4.35,20.8,76.32,33.13,0,13,0
36.87,41.93,3.0,32.2,56.66,7.71,1,16,0
31.58,17.5,0.692,80.9,34.76,4.54,3,0,0
10.86,53.14,2.561,179.6,47.58,91.71,0,9,0
23.33,14.25,1.347,24.1,59.96,11.66,0,19,0
18.71,39.63,3.538,40.6,45.38,5.05,2,9,0
30.31,46.4,1.26,17.4,35.19,42.4,1,21,0
10.94,32.25,4.826,19.7,36.04,42.81,2,19,0
18.49,26.88,3.715,949.1,9.59,25.31,2,6,1
41.81,46.82,1.64,40.6,25.44,12.79,1,8,0
5.52,33.97,1.935,85.5,25.45,2.9,0,22,0
12.06,64.67,0.302,26.9,20.33,1.2,1,14,0
20.68,43.71,1.894,60.9,59.71,11.33,2,13,0
55.46,28.27,2.671,173.2,38.24,6.7,2,13,0
22.64,40.59,2.491,444.4,57.55,109.09,3,12,0
40.37,30.91,4.431,183.0,27.1,8.11,0,21,0
12.37,46.85,1.947,45.9,37.54,96.15,2,19,0
33.83,37.35,1.254,18.1,37.86,26.61,1,2,0
28.2,10.22,1.447,32.0,61.67,62.37,0,20,0
21.89,31.08,2.234,63.7,39.75,104.78,1,1,0
26.89,26.57,3.409,186.0,53.61,35.44,0,8,0
32.37,38.21,0.223,39.7,84.77,9.91,0,0,0
29.18,56.82,2.852,45.4,50.37,11.82,1,12,0
26.37,10.32,0.376,43.0,21.75,32.02,1,7,0
39.79,62.35,3.579,33.1,54.83,15.55,2,11,0
55.65,54.76,0.43,287.3,19.68,0.87,2,6,0
30.12,44.19,2.794,12.1,52.19,11.8,2,12,0
11.94,37.68,1.102,46.2,74.08,1.54,1,21,0
25.12,38.48,4.013,36.8,28.27,62.68,0,14,0
23.42,6.23,0.67,28.5,50.85,132.48,1,3,0
26.74,60.9,2.36,9.7,72.12,99.77,0,22,0
26.68,44.73,1.19,154.6,77.31,25.48,1,4,0
17.34,79.44,2.159,31.7,26.36,59.16,0,18,0
18.53,24.31,3.282,6.8,46.03,2.21,2,6,0
32.41,18.94,3.795,85.9,58.75,8.47,0,15,0
22.41,32.22,5.918,16.8,17.48,54.15,3,0,1
11.64,71.71,3.036,55.6,14.56,42.01,4,3,1
33.16,55.67,0.715,47.5,37.04,61.23,1,1,0
9.6,7.26,0.7,166.7,47.1,2.55,1,11,0
37.67,69.8,2.384,30.4,55.61,130.43,1,11,0
17.73,24.84,1.886,92.6,37.0,113.0,3,14,0
35.85,40.0,3.087,15.3,10.52,55.49,1,0,0
19.88,25.05,2.615,17.6,57.72,3.1,0,5,0
27.91,22.35,0.268,61.8,57.38,6.45,0,14,0
32.1,37.8,3.154,39.2,31.99,25.02,1,15,0
42.63,75.1,1.671,70.7,37.3,8.24,0,11,0
25.67,66.99,2.097,48.2,28.75,43.97,0,7,0
58.42,69.29,2.295,53.7,13.55,47.68,1,5,0
19.38,70.51,1.62,56.0,15.03,51.23,1,10,0
12.77,39.15,0.824,45.2,66.2,15.45,2,19,0
20.61,27.42,3.7,39.6,56.21,67.54,1,16,0
1.78,29.16,1.69,43.3,38.44,81.22,0,21,0
36.84,28.92,1.666,118.3,85.26,2.07,1,6,0
10.82,57.06,2.648,17.0,23.47,1.32,2,22,0
39.56,52.89,1.0,40.6,24.12,19.72,1,12,0
35.7,12.18,0.228,175.0,40.02,5.07,0,4,0
28.41,29.56,2.351,82.6,26.0,49.67,0,11,0
51.43,50.8,1.612,13.7,25.88,37.31,0,9,0
25.93,36.89,8.806,6.6,33.46,64.05,1,14,1
45.55,16.3,0.571,66.3,14.12,78.35,3,13,0
34.66,36.0,1.951,34.9,18.93,57.71,1,3,0
33.43,15.57,1.659,24.5,41.91,54.85,2,0,0
13.24,31.6,3.381,9.2,23.97,16.17,0,22,0
25.9,22.21,5.065,275.8,23.88,19.2,0,15,1
2.3,21.32,1.806,30.0,49.48,40.3,1,1,0
